predicted,actual,correct,plate_x,plate_z,release_speed
4-Seam Fastball,4-Seam Fastball,True,-0.18,0.44,0.77
Knuckle Curve,Knuckle Curve,True,-0.43,0.22,-0.05
4-Seam Fastball,4-Seam Fastball,True,-0.17,0.28,0.77
Slider,Slider,True,0.3,-0.15,0.22
Slider,Slider,True,-0.18,-0.23,0.25
Knuckle Curve,Knuckle Curve,True,-0.37,0.42,-0.1
Knuckle Curve,Knuckle Curve,True,-0.32,0.33,-0.2
Slider,Slider,True,0.36,-0.33,0.29
4-Seam Fastball,4-Seam Fastball,True,-0.02,0.56,0.88
4-Seam Fastball,4-Seam Fastball,True,-0.56,0.06,0.88
4-Seam Fastball,4-Seam Fastball,True,-0.35,0.63,0.82
Knuckle Curve,Sweeper,False,0.33,-0.27,0.12
Knuckle Curve,Knuckle Curve,True,0.31,-0.3,-0.14
Slider,Slider,True,-0.18,0.05,0.29
Changeup,Changeup,True,-0.05,0.33,-0.03
Slider,Slider,True,0.12,-0.2,0.21
Slider,Slider,True,0.62,-0.11,0.27
Changeup,Changeup,True,0.39,0.45,0.03
4-Seam Fastball,4-Seam Fastball,True,-0.12,0.47,0.84
Knuckle Curve,Knuckle Curve,True,0.06,0.35,-0.23
Slider,Slider,True,0.41,-0.38,0.36
Changeup,Changeup,True,-0.1,-0.75,0.01
Slider,Slider,True,0.28,-0.16,0.34
Changeup,Changeup,True,-0.35,0.43,-0.15
4-Seam Fastball,4-Seam Fastball,True,0.08,0.05,0.82
Knuckle Curve,Knuckle Curve,True,0.45,-0.45,-0.16
Changeup,Changeup,True,0.19,-0.72,-0.35
4-Seam Fastball,4-Seam Fastball,True,-0.44,0.34,0.86
Knuckle Curve,Knuckle Curve,True,-0.11,0.41,-0.09
Slider,Slider,True,0.57,0.09,0.34
4-Seam Fastball,4-Seam Fastball,True,-0.16,0.45,0.83
Changeup,Changeup,True,-0.24,-0.25,-0.07
Slider,Slider,True,0.41,-0.1,0.35
Changeup,Changeup,True,-0.75,0.03,-0.03
Changeup,Changeup,True,-0.25,0.32,-0.09
Changeup,Changeup,True,0.13,0.28,0.02
Slider,Slider,True,0.41,-0.04,0.32
4-Seam Fastball,4-Seam Fastball,True,0.6,0.28,0.77
Changeup,Changeup,True,0.28,-0.75,-0.64
Changeup,Changeup,True,-0.2,0.18,-0.35
Knuckle Curve,Knuckle Curve,True,0.57,-0.24,-0.1
Knuckle Curve,Knuckle Curve,True,0.19,-0.48,0.02
4-Seam Fastball,4-Seam Fastball,True,0.58,-0.05,0.74
Changeup,Changeup,True,0.47,-0.01,-0.12
4-Seam Fastball,4-Seam Fastball,True,-0.1,0.33,0.93
Changeup,Changeup,True,-0.1,-0.29,-0.03
4-Seam Fastball,4-Seam Fastball,True,-0.01,0.47,0.84
Slider,Slider,True,0.54,-0.47,0.43
Slider,Slider,True,-0.2,0.25,0.36
Changeup,Changeup,True,-0.3,-0.06,-0.64
Knuckle Curve,Knuckle Curve,True,0.43,-0.5,0.04
Slider,Slider,True,0.14,-0.18,0.37
4-Seam Fastball,4-Seam Fastball,True,0.1,0.61,0.82
Slider,Slider,True,-0.26,0.27,0.33
Knuckle Curve,Knuckle Curve,True,0.18,-0.33,-0.05
4-Seam Fastball,4-Seam Fastball,True,0.07,0.09,0.74
Changeup,Changeup,True,0.07,-0.17,-0.18
Changeup,Changeup,True,-0.05,-0.28,-0.08
Slider,Slider,True,0.44,-0.23,0.35
Slider,Slider,True,0.76,-0.53,0.3
Knuckle Curve,Knuckle Curve,True,0.53,-0.21,-0.2
Slider,Slider,True,0.35,0.0,0.21
Knuckle Curve,Knuckle Curve,True,0.53,0.05,-0.12
4-Seam Fastball,4-Seam Fastball,True,0.36,0.45,0.9
4-Seam Fastball,4-Seam Fastball,True,-0.22,0.33,0.87
4-Seam Fastball,4-Seam Fastball,True,-0.01,-0.21,0.87
4-Seam Fastball,4-Seam Fastball,True,-0.01,0.03,0.86
Knuckle Curve,Knuckle Curve,True,0.02,-0.23,-0.08
Slider,Slider,True,0.39,-0.54,0.37
Slider,Slider,True,0.23,0.03,0.24
Slider,Slider,True,0.24,-0.55,0.45
4-Seam Fastball,4-Seam Fastball,True,-0.3,0.5,0.7
Changeup,Changeup,True,-0.18,0.62,-0.55
Knuckle Curve,Knuckle Curve,True,-0.14,-0.31,0.0
4-Seam Fastball,4-Seam Fastball,True,0.46,0.22,0.8
Knuckle Curve,Knuckle Curve,True,0.04,-0.25,-0.06
Knuckle Curve,Knuckle Curve,True,0.24,-0.2,-0.06
Knuckle Curve,Knuckle Curve,True,0.43,-0.21,0.08
Knuckle Curve,Knuckle Curve,True,0.35,-0.42,0.01
Slider,Slider,True,0.66,-0.78,0.39
Knuckle Curve,Knuckle Curve,True,-0.41,-0.14,-0.09
4-Seam Fastball,4-Seam Fastball,True,0.15,0.26,0.75
Slider,Slider,True,0.27,-0.1,0.27
4-Seam Fastball,4-Seam Fastball,True,0.68,0.61,0.86
Slider,Slider,True,0.11,-0.23,0.21
4-Seam Fastball,4-Seam Fastball,True,0.34,0.08,0.99
4-Seam Fastball,4-Seam Fastball,True,0.22,0.53,0.86
Slider,Slider,True,0.58,-0.28,0.43
Changeup,Changeup,True,0.03,0.05,-0.36
Slider,Slider,True,-0.14,-0.27,0.39
Changeup,Changeup,True,0.13,-0.05,-0.03
4-Seam Fastball,Sinker,False,-0.24,0.54,0.85
Knuckle Curve,Knuckle Curve,True,0.42,-0.16,0.04
4-Seam Fastball,4-Seam Fastball,True,0.22,0.57,0.73
Knuckle Curve,Knuckle Curve,True,0.65,0.15,-0.12
Slider,Slider,True,0.76,-0.32,0.38
4-Seam Fastball,4-Seam Fastball,True,0.16,0.39,0.72
Slider,Slider,True,0.17,-0.23,0.21
4-Seam Fastball,4-Seam Fastball,True,-0.62,0.47,0.9
