predicted,actual,correct,plate_x,plate_z,release_speed
Curveball,Curveball,True,-0.01,-0.07,-0.68
Curveball,Curveball,True,-0.26,-0.72,-0.43
Slider,Slider,True,-0.08,0.03,0.2
Curveball,Curveball,True,-0.25,-0.02,-0.87
Changeup,Changeup,True,0.45,-0.05,-0.05
Changeup,Changeup,True,0.58,0.42,0.12
4-Seam Fastball,4-Seam Fastball,True,0.32,0.49,0.75
Changeup,Changeup,True,0.1,-0.2,0.13
Curveball,Curveball,True,0.2,0.12,-0.59
Changeup,Changeup,True,0.68,0.23,-0.15
Curveball,Curveball,True,0.1,0.04,-0.64
Slider,Slider,True,-0.38,0.06,0.16
Curveball,Curveball,True,0.64,0.27,-0.69
Slider,Slider,True,-0.41,-0.15,0.09
Curveball,Curveball,True,0.3,-0.13,-0.54
Curveball,Curveball,True,-0.04,-0.63,-0.24
4-Seam Fastball,4-Seam Fastball,True,0.73,0.51,0.86
Curveball,Curveball,True,-0.05,-0.17,-0.53
4-Seam Fastball,4-Seam Fastball,True,0.25,0.58,0.96
Slider,Slider,True,-0.01,-0.32,0.2
4-Seam Fastball,4-Seam Fastball,True,-0.2,0.06,0.71
Slider,Slider,True,-0.53,0.18,0.16
Changeup,Changeup,True,1.0,0.48,-0.14
Slider,Slider,True,-0.19,0.06,0.1
4-Seam Fastball,4-Seam Fastball,True,-0.22,0.43,0.81
4-Seam Fastball,4-Seam Fastball,True,0.42,0.14,0.83
Curveball,Curveball,True,0.45,0.56,-0.62
4-Seam Fastball,4-Seam Fastball,True,-0.06,0.58,0.71
4-Seam Fastball,4-Seam Fastball,True,-0.81,-0.12,0.85
Changeup,Changeup,True,0.09,-0.08,0.12
Changeup,Changeup,True,0.41,0.18,0.17
Changeup,Changeup,True,0.24,-0.33,0.27
4-Seam Fastball,4-Seam Fastball,True,0.29,0.46,0.96
Slider,Slider,True,-0.18,-0.11,0.23
Changeup,Changeup,True,0.46,0.02,-0.42
Slider,Slider,True,0.2,-0.09,0.14
Slider,Slider,True,0.21,-0.07,0.18
