predicted,actual,correct,plate_x,plate_z,release_speed
Slider,Slider,True,0.07,0.09,0.14
Curveball,Curveball,True,-0.05,-0.01,-0.72
Curveball,Curveball,True,-0.63,-0.03,-0.63
Slider,Cutter,False,0.27,-0.5,0.19
4-Seam Fastball,4-Seam Fastball,True,-0.41,0.11,0.54
4-Seam Fastball,4-Seam Fastball,True,-0.4,-0.11,0.63
4-Seam Fastball,4-Seam Fastball,True,0.23,-0.35,0.58
4-Seam Fastball,Sinker,False,-0.46,0.33,0.69
Cutter,Cutter,True,0.34,0.03,0.49
Curveball,Curveball,True,-0.53,0.61,-0.63
Curveball,Curveball,True,-0.09,-0.19,-0.52
4-Seam Fastball,Sinker,False,0.14,-0.19,0.73
Cutter,Cutter,True,0.31,-0.32,0.55
4-Seam Fastball,4-Seam Fastball,True,-0.15,0.14,0.66
4-Seam Fastball,4-Seam Fastball,True,0.08,-0.1,0.69
Slider,Slider,True,-0.23,-0.2,-0.09
4-Seam Fastball,4-Seam Fastball,True,0.04,0.62,0.52
Slider,Slider,True,0.18,-0.11,-0.06
Curveball,Curveball,True,0.03,-0.22,-0.61
Cutter,Cutter,True,0.14,0.38,0.49
Changeup,Changeup,True,-0.23,-0.21,-0.07
Cutter,Cutter,True,0.29,0.12,0.41
4-Seam Fastball,4-Seam Fastball,True,-0.19,0.41,0.63
Cutter,Cutter,True,-0.04,0.02,0.28
Cutter,Cutter,True,0.14,-0.17,0.29
Slider,Slider,True,0.08,-0.15,0.02
Cutter,Cutter,True,0.11,-0.22,0.31
Cutter,Cutter,True,0.38,0.2,0.37
Changeup,Changeup,True,-0.01,-0.19,-0.06
Cutter,Cutter,True,0.19,-0.31,0.37
4-Seam Fastball,4-Seam Fastball,True,0.32,0.2,0.75
Changeup,Changeup,True,-0.42,-0.02,0.06
Curveball,Curveball,True,0.05,-0.56,-0.33
Curveball,Curveball,True,0.02,-0.27,-0.63
Cutter,Cutter,True,0.23,-0.35,0.41
Slider,Slider,True,0.26,-0.23,0.05
Curveball,Curveball,True,-0.49,0.02,-0.38
Changeup,Changeup,True,-0.27,-0.2,0.08
Cutter,Cutter,True,0.12,-0.27,0.32
Curveball,Curveball,True,-0.68,0.47,-0.62
Changeup,Changeup,True,-0.42,0.22,0.04
Cutter,Cutter,True,0.08,0.41,0.46
Curveball,Curveball,True,-0.67,0.0,-0.75
Changeup,Changeup,True,-0.18,-0.44,0.03
Changeup,Changeup,True,0.17,-0.45,0.12
Curveball,Curveball,True,-0.47,-0.24,-0.51
Slider,Slider,True,0.47,-0.46,0.15
Changeup,Changeup,True,-0.44,0.23,0.1
Cutter,Cutter,True,-0.23,0.42,0.27
Cutter,Cutter,True,0.49,-0.01,0.44
Changeup,Changeup,True,-0.34,-0.05,-0.05
Slider,Cutter,False,0.11,0.17,0.12
Curveball,Curveball,True,-0.15,-0.28,-0.24
Cutter,Cutter,True,0.24,0.56,0.45
Curveball,Curveball,True,-0.43,0.51,-0.81
Cutter,Cutter,True,0.3,0.23,0.37
Slider,Slider,True,0.47,-0.42,-0.02
Slider,Slider,True,0.27,-0.29,0.06
Cutter,Slider,False,0.15,-0.48,0.2
4-Seam Fastball,Sinker,False,0.2,0.2,0.78
Cutter,Cutter,True,0.0,0.59,0.32
4-Seam Fastball,Sinker,False,-0.61,0.69,0.78
